🚀 XANDER BOT v2.7 – GTO RANGE ENGINE
   Modo: INFINITO | SimMode: 0 | Tavoli: 1
   VPIP teorico: 21.4% | Target: 18-24% | Delay: 0.6s
   Report ogni 300 mani
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[   46] HJ  | 6d 8c (86o ) | Eq: 39.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 34.8%
[   47] BTN | 2c 6h (62o ) | Eq: 31.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 34.0%
[   48] UTG | Jd 4s (J4o ) | Eq: 40.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 33.3%
[   49] HJ  | 4c Qd (Q4o ) | Eq: 45.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 32.7%
[   50] CO  | 9d 4c (94o ) | Eq: 36.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 32.0%
[   51] CO  | 8h 6h (86s ) | Eq: 47.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 31.4%
[   52] HJ  | Kd 7h (K7o ) | Eq: 47.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.8%
[   53] CO  | Ks 7d (K7o ) | Eq: 49.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.2%
[   54] SB  | As Kh (AKo ) | Eq: 66.2% | PO:25.1% | ▶ RAISE | P/L: +3.5BB | VPIP: 31.5%
[   55] CO  | 2d 6c (62o ) | Eq: 30.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.9%
[   56] BTN | 6s 4d (64o ) | Eq: 36.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.4%
[   57] BB  | Ad Jh (AJo ) | Eq: 56.7% | PO:26.6% | ▶ RAISE | P/L: -3.0BB | VPIP: 31.6%
[   58] BTN | Ts Qc (QTo ) | Eq: 56.5% | PO:29.3% | ▶ RAISE | P/L: +3.5BB | VPIP: 32.8%
[   59] BB  | 4d Kd (K4s ) | Eq: 48.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 32.2%
[   60] BTN | Jd 4c (J4o ) | Eq: 40.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 31.7%
[   61] BTN | 3h 2s (32o ) | Eq: 31.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 31.1%
[   62] HJ  | 9d 6c (96o ) | Eq: 39.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.6%
[   63] SB  | 9c 2h (92o ) | Eq: 39.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.2%
[   64] SB  | Jd Kh (KJo ) | Eq: 52.8% | PO:31.3% | ▶ CALL  | P/L: -2.0BB | VPIP: 31.2%
[   65] HJ  | Ac Kd (AKo ) | Eq: 63.9% | PO:18.9% | ▶ RAISE | P/L: +3.5BB | VPIP: 32.3%
[   66] CO  | 3s 6c (63o ) | Eq: 36.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 31.8%
[   67] CO  | 7d Qh (Q7o ) | Eq: 50.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 31.3%
[   68] SB  | Qs 2c (Q2o ) | Eq: 40.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.9%
[   69] SB  | Qh 7c (Q7o ) | Eq: 50.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.4%
[   70] BB  | 9h Kc (K9o ) | Eq: 53.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.0%
[   71] BB  | Qs Qc (QQ  ) | Eq: 81.7% | PO:24.4% | ▶ RAISE | P/L: +3.5BB | VPIP: 31.0%
[   72] CO  | Th 5h (T5s ) | Eq: 47.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.6%
[   73] HJ  | 2c Tc (T2s ) | Eq: 41.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.1%
[   74] BTN | 2d Js (J2o ) | Eq: 41.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.7%
[   75] CO  | Ks 6s (K6s ) | Eq: 50.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.3%
[   76] BTN | 4d 6h (64o ) | Eq: 34.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.9%
[   77] SB  | 3d 4s (43o ) | Eq: 30.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.6%
[   78] BB  | Ah 2d (A2o ) | Eq: 50.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.2%
[   79] HJ  | 5c 5h (55  ) | Eq: 58.9% | PO:24.5% | ▶ RAISE | P/L: -3.0BB | VPIP: 29.1%
[   80] SB  | 5h 6s (65o ) | Eq: 39.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.7%
[   81] SB  | Kc Kd (KK  ) | Eq: 85.0% | PO:29.7% | ▶ RAISE | P/L: +3.5BB | VPIP: 29.6%
[   82] BB  | 6c 8c (86s ) | Eq: 43.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.3%
[   83] BTN | 3c Kh (K3o ) | Eq: 44.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.9%
[   84] UTG | 4d 8d (84s ) | Eq: 38.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.6%
[   85] BB  | 7c Js (J7o ) | Eq: 46.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.2%
[   86] BTN | Qd 7d (Q7s ) | Eq: 49.4% | PO:23.6% | ▶ RAISE | P/L: +3.5BB | VPIP: 29.1%
[   87] CO  | 4h Js (J4o ) | Eq: 43.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.7%
[   88] SB  | 2c 9s (92o ) | Eq: 35.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.4%
[   89] BTN | 2s 2h (22  ) | Eq: 50.9% | PO:33.3% | ▶ RAISE | P/L: -3.0BB | VPIP: 29.2%
[   90] UTG | 7h 2c (72o ) | Eq: 34.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.9%
[   91] BTN | As Kd (AKo ) | Eq: 62.0% | PO:19.9% | ▶ RAISE | P/L: +3.5BB | VPIP: 29.7%
[   92] BTN | 7d Qs (Q7o ) | Eq: 45.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.3%
[   93] BB  | 6s Ac (A6o ) | Eq: 58.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.0%
[   94] BB  | Js Qh (QJo ) | Eq: 52.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.7%
[   95] SB  | Jd 7d (J7s ) | Eq: 52.6% | PO:29.4% | ▶ CALL  | P/L: +2.0BB | VPIP: 29.5%
[   96] CO  | 7d Qd (Q7s ) | Eq: 54.0% | PO:25.7% | ▶ RAISE | P/L: +3.5BB | VPIP: 30.2%
[   97] CO  | 7s 8h (87o ) | Eq: 43.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.9%
[   98] CO  | Ac 2s (A2o ) | Eq: 53.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.6%
[   99] UTG | Ts 9s (T9s ) | Eq: 52.4% | PO:28.7% | ▶ CALL  | P/L: +2.0BB | VPIP: 30.3%
[  100] UTG | 5s Kd (K5o ) | Eq: 49.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.0%
[  101] BTN | 3d 4h (43o ) | Eq: 34.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.7%
[  102] HJ  | 6h 9s (96o ) | Eq: 45.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.4%
[  103] BB  | Jc 3h (J3o ) | Eq: 43.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.1%
[  104] UTG | 9c 5s (95o ) | Eq: 42.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.8%
[  105] UTG | 7h 2d (72o ) | Eq: 31.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.6%
[  106] SB  | 7c 7s (77  ) | Eq: 60.7% | PO:18.1% | ▶ RAISE | P/L: +3.5BB | VPIP: 29.2%
[  107] BB  | 7s 3s (73s ) | Eq: 42.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.0%
[  108] CO  | Js 2d (J2o ) | Eq: 41.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.7%
[  109] CO  | 6s 9h (96o ) | Eq: 39.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.4%
[  110] HJ  | 3s 6s (63s ) | Eq: 33.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.2%
[  111] BB  | Td 3c (T3o ) | Eq: 42.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 27.9%
[  112] SB  | Th 9h (T9s ) | Eq: 52.7% | PO:31.1% | ▶ CALL  | P/L: -2.0BB | VPIP: 28.6%
[  113] UTG | Kd Js (KJo ) | Eq: 53.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.3%
[  114] BB  | 3c 8h (83o ) | Eq: 38.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.1%
[  115] BTN | Jc Jd (JJ  ) | Eq: 73.4% | PO:19.4% | ▶ RAISE | P/L: +3.5BB | VPIP: 28.7%
[  116] CO  | Kh 2d (K2o ) | Eq: 45.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.4%
[  117] HJ  | 3c Ah (A3o ) | Eq: 52.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.2%
[  118] CO  | 6h 6s (66  ) | Eq: 62.2% | PO:21.3% | ▶ RAISE | P/L: -3.0BB | VPIP: 28.8%
[  119] UTG | 9d 6s (96o ) | Eq: 44.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.6%
[  120] SB  | 5h 2s (52o ) | Eq: 27.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.3%
[  121] UTG | 4s 6d (64o ) | Eq: 36.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.1%
[  122] UTG | Th Kh (KTs ) | Eq: 56.5% | PO:27.8% | ▶ RAISE | P/L: +3.5BB | VPIP: 28.7%
[  123] CO  | Tc 8s (T8o ) | Eq: 46.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.5%
[  124] BB  | Qs 7d (Q7o ) | Eq: 46.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.2%
[  125] UTG | 3d Tc (T3o ) | Eq: 37.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.0%
[  126] CO  | 5c 2h (52o ) | Eq: 31.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 27.8%
[  127] CO  | 6d Qc (Q6o ) | Eq: 44.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 27.6%
[  128] BTN | 3h Jc (J3o ) | Eq: 42.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 27.3%
[  129] CO  | 6s Kh (K6o ) | Eq: 46.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 27.1%
[  130] BB  | 5s 6h (65o ) | Eq: 41.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.9%
[  131] HJ  | 7c Jd (J7o ) | Eq: 44.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.7%
[  132] UTG | 8s 3s (83s ) | Eq: 42.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.5%
[  133] CO  | 8d Ks (K8o ) | Eq: 52.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.3%
[  134] HJ  | 9d Kc (K9o ) | Eq: 55.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.1%
[  135] BB  | 8d 5d (85s ) | Eq: 40.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.9%
[  136] HJ  | Ah Qh (AQs ) | Eq: 69.1% | PO:28.9% | ▶ RAISE | P/L: -3.0BB | VPIP: 26.5%
[  137] BB  | 7s 8s (87s ) | Eq: 48.9% | PO:29.2% | ▶ CALL  | P/L: -2.0BB | VPIP: 27.0%
[  138] CO  | 2d 6h (62o ) | Eq: 33.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.8%
[  139] UTG | 3s 4c (43o ) | Eq: 31.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.6%
[  140] CO  | 8s 6c (86o ) | Eq: 38.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.4%
[  141] BB  | Qh 5s (Q5o ) | Eq: 46.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.2%
[  142] CO  | 5h 9s (95o ) | Eq: 40.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.1%
[  143] UTG | Th 7c (T7o ) | Eq: 44.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.9%
[  144] HJ  | 5d 6d (65s ) | Eq: 41.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.7%
[  145] HJ  | 3d 5d (53s ) | Eq: 39.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.5%
[  146] CO  | Qs 4c (Q4o ) | Eq: 42.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.3%
[  147] BB  | 9d 3s (93o ) | Eq: 36.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.2%
[  148] CO  | Ad 4c (A4o ) | Eq: 56.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.0%
[  149] BTN | 9d Kh (K9o ) | Eq: 55.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.8%
[  150] SB  | 2c Qd (Q2o ) | Eq: 42.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.7%
[  151] SB  | 4s Qh (Q4o ) | Eq: 42.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.5%
[  152] HJ  | 2s 2h (22  ) | Eq: 52.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.3%
[  153] BTN | Qd Qc (QQ  ) | Eq: 81.2% | PO:26.9% | ▶ RAISE | P/L: +3.5BB | VPIP: 24.8%
[  154] BTN | 5s Tc (T5o ) | Eq: 43.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.7%
[  155] BTN | Js 7h (J7o ) | Eq: 43.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.5%
[  156] SB  | 3d Tc (T3o ) | Eq: 38.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.4%
[  157] CO  | Qs 8c (Q8o ) | Eq: 45.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.2%
[  158] BB  | 3c 6d (63o ) | Eq: 34.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.1%
[  159] BB  | 3h 2h (32s ) | Eq: 30.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.9%
[  160] UTG | Tc Ks (KTo ) | Eq: 57.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.8%
[  161] SB  | 4s 8c (84o ) | Eq: 34.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.6%
[  162] BTN | Ac 6c (A6s ) | Eq: 59.0% | PO:18.8% | ▶ RAISE | P/L: -3.0BB | VPIP: 24.1%
[  163] CO  | Ts 6d (T6o ) | Eq: 43.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.9%
[  164] UTG | 4d 6d (64s ) | Eq: 37.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.8%
[  165] HJ  | Kd 6d (K6s ) | Eq: 52.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.6%
[  166] BTN | Tc Jc (JTs ) | Eq: 56.0% | PO:26.5% | ▶ RAISE | P/L: +3.5BB | VPIP: 24.1%
[  167] UTG | Qh 4d (Q4o ) | Eq: 49.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.0%
[  168] CO  | 6h 5h (65s ) | Eq: 40.7% | PO:29.2% | ▶ CALL  | P/L: -2.0BB | VPIP: 24.4%
[  169] CO  | As Qh (AQo ) | Eq: 59.9% | PO:20.4% | ▶ RAISE | P/L: -3.0BB | VPIP: 24.9%
[  170] HJ  | 6h 9s (96o ) | Eq: 46.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.7%
[  171] SB  | Jc 4d (J4o ) | Eq: 47.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.6%
[  172] HJ  | 5d 8c (85o ) | Eq: 39.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.4%
[  173] CO  | Jd 2d (J2s ) | Eq: 47.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.3%
[  174] BB  | Tc 6s (T6o ) | Eq: 44.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.1%
[  175] BTN | Ad 2d (A2s ) | Eq: 57.2% | PO:30.9% | ▶ RAISE | P/L: -3.0BB | VPIP: 24.6%
[  176] HJ  | Jh 2h (J2s ) | Eq: 46.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.4%
[  177] BB  | 5s Qs (Q5s ) | Eq: 51.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.3%
[  178] BB  | 3h Ah (A3s ) | Eq: 56.7% | PO:34.0% | ▶ RAISE | P/L: +3.5BB | VPIP: 24.7%
[  179] HJ  | 8d 9s (98o ) | Eq: 44.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.6%
