🚀 XANDER BOT v2.7 – GTO RANGE ENGINE
   Modo: INFINITO | SimMode: 0 | Tavoli: 1
   VPIP teorico: 21.2% | Target: 18-24% | Delay: 0.6s
   Report ogni 300 mani
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[   47] SB  | Kh Jd (KJo ) | Eq: 55.4% | PO:29.7% | ▶ RAISE | P/L: -3.0BB | VPIP: 27.7%
[   48] BTN | Qh 6h (Q6s ) | Eq: 50.1% | PO:26.4% | ▶ RAISE | P/L: -3.0BB | VPIP: 29.2%
[   49] SB  | Js Ad (AJo ) | Eq: 61.3% | PO:32.1% | ▶ RAISE | P/L: -3.0BB | VPIP: 30.6%
[   50] BB  | Ts 7d (T7o ) | Eq: 48.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.0%
[   51] BB  | 4c 6d (64o ) | Eq: 35.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.4%
[   52] BTN | Jh Ad (AJo ) | Eq: 61.4% | PO:18.4% | ▶ RAISE | P/L: +3.5BB | VPIP: 30.8%
[   53] CO  | Qc As (AQo ) | Eq: 60.1% | PO:33.9% | ▶ RAISE | P/L: -3.0BB | VPIP: 32.1%
[   54] BTN | 2h 6d (62o ) | Eq: 29.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 31.5%
[   55] BB  | 7h 4h (74s ) | Eq: 40.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.9%
[   56] SB  | 7d Ah (A7o ) | Eq: 58.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.4%
[   57] SB  | 9d 4h (94o ) | Eq: 39.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.8%
[   58] SB  | 4d 9c (94o ) | Eq: 38.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.3%
[   59] BB  | Qh Th (QTs ) | Eq: 57.9% | PO:30.0% | ▶ RAISE | P/L: +3.5BB | VPIP: 30.5%
[   60] UTG | 7c 3d (73o ) | Eq: 36.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.0%
[   61] UTG | 2h Th (T2s ) | Eq: 41.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.5%
[   62] SB  | 6c Ah (A6o ) | Eq: 51.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.0%
[   63] SB  | 5s 5d (55  ) | Eq: 61.1% | PO:32.3% | ▶ RAISE | P/L: +3.5BB | VPIP: 30.2%
[   64] BTN | Js 3s (J3s ) | Eq: 43.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.7%
[   65] SB  | 2d 5h (52o ) | Eq: 33.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.2%
[   66] BB  | 5c 6d (65o ) | Eq: 42.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.8%
[   67] HJ  | Ts 4c (T4o ) | Eq: 40.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.4%
[   68] BTN | Td Qh (QTo ) | Eq: 49.9% | PO:29.8% | ▶ RAISE | P/L: +3.5BB | VPIP: 29.4%
[   69] SB  | 4d Jh (J4o ) | Eq: 45.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.0%
[   70] BB  | Jh Kh (KJs ) | Eq: 61.5% | PO:26.9% | ▶ RAISE | P/L: +3.5BB | VPIP: 30.0%
[   71] CO  | Ah 2d (A2o ) | Eq: 55.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.6%
[   72] HJ  | 5d 9s (95o ) | Eq: 43.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 29.2%
[   73] BTN | 3d Js (J3o ) | Eq: 45.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.8%
[   74] CO  | Qs 7c (Q7o ) | Eq: 47.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.4%
[   75] BB  | 5s Td (T5o ) | Eq: 40.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.0%
[   76] SB  | 6s 2h (62o ) | Eq: 33.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 27.6%
[   77] BB  | 2d Ac (A2o ) | Eq: 53.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 27.3%
[   78] HJ  | Tc 6s (T6o ) | Eq: 47.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.9%
[   79] BB  | Th 6d (T6o ) | Eq: 46.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.6%
[   80] BTN | 6c 2c (62s ) | Eq: 35.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.2%
[   81] BTN | 5s Jh (J5o ) | Eq: 47.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.9%
[   82] SB  | 5h Qs (Q5o ) | Eq: 50.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.6%
[   83] BTN | 9c 6d (96o ) | Eq: 44.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.3%
[   84] BB  | 3s 7d (73o ) | Eq: 37.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.0%
[   85] SB  | 5d 9h (95o ) | Eq: 38.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.7%
[   86] BTN | Td 3s (T3o ) | Eq: 43.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.4%
[   87] BB  | 4c 8s (84o ) | Eq: 38.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.1%
[   88] CO  | 8s 3s (83s ) | Eq: 41.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.9%
[   89] SB  | 7s 3d (73o ) | Eq: 37.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.6%
[   90] CO  | Jh 3d (J3o ) | Eq: 40.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.3%
[   91] CO  | 9h 8h (98s ) | Eq: 47.3% | PO:24.8% | ▶ CALL  | P/L: -2.0BB | VPIP: 24.2%
[   92] HJ  | 2d 8d (82s ) | Eq: 36.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.9%
[   93] BB  | As 7h (A7o ) | Eq: 53.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.7%
[   94] HJ  | 4s Kc (K4o ) | Eq: 50.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.4%
[   95] BTN | 9d 6s (96o ) | Eq: 40.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.2%
[   96] HJ  | As 5c (A5o ) | Eq: 51.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.9%
[   97] HJ  | 3c Qc (Q3s ) | Eq: 48.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.7%
[   98] BB  | 7h 2h (72s ) | Eq: 36.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.4%
[   99] UTG | 5s 9h (95o ) | Eq: 42.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.2%
[  100] BB  | 2d 8s (82o ) | Eq: 37.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.0%
[  101] UTG | 4h 3d (43o ) | Eq: 34.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.8%
[  102] BTN | 5c 8h (85o ) | Eq: 42.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.6%
